id,frequency,word
28011,לכריש,5
28012,ולזה,24
28013,ריי,35
28014,תעשייתי,53
28015,חליפות,27
28016,שעצב,2
28017,לוגו,18
28018,קוויקסילבר,2
28019,ולשבת,11
28020,ולתרגם,7
28021,לחליפה,3
28022,אסטטית,2
28023,תאכל,8
28024,הפסים,13
28025,ומספק,5
28026,פרופיל,33
28027,מופרע,7
28028,ומיועד,2
28029,מהכריש,3
28030,מלחשוב,9
28031,פוטנציאלי,33
28032,בילבול,5
28033,גלשן,8
28034,הפאנל,8
28035,הכהה,16
28036,האטום,24
28037,למשטח,6
28038,מואר,16
28039,צללית,9
28040,החליפה,23
28041,הנסתרת,6
28042,להחביא,11
28043,הלובש,1
28044,בעמוד,37
28045,פנלים,2
28046,מהפנלים,1
28047,יתאים,17
28048,לספקטרום,2
28049,המחזיר,1
28050,יעלם,15
28051,הנותר,9
28052,הנותרים,12
28053,לתצורת,1
28054,להתבלט,5
28055,מפוספסים,1
28056,וידענו,13
28057,חבויים,8
28058,והצורות,7
28059,בחליפת,6
28060,פיתיון,13
28061,המתקן,41
28062,וכששמים,2
28063,פתיון,11
28064,הכרישים,34
28065,אתית,16
28066,הומנואידיות,1
28067,הבדיקה,42
28068,טיגריס,7
28069,עמלצים,4
28070,תוף,14
28071,מחורר,2
28072,שמלא,5
28073,בפתיון,2
28074,לעטוף,10
28075,ניאופרן,1
28076,סטראו,1
28077,מימיות,4
28078,בכריש,2
28079,ומפני,12
28080,בסטראו,1
28081,זוית,18
28082,אמפירית,4
28083,סובייקטיבית,11
28084,מתקן,81
28085,נאופרין,2
28086,מעודדות,6
28087,מהמפגשים,3
28088,הבקרה,36
28089,נפגש,14
28090,התעסק,4
28091,מוסווה,3
28092,ובילה,4
28093,בהקפה,1
28094,להריח,25
28095,ההתעסקות,4
28096,מהטיגריסים,1
28097,לתחתית,27
28098,ומתעסק,2
28099,המפוספס,2
28100,טקטילי,2
28101,חקרני,1
28102,ומראה,17
28103,המבחנים,23
28104,הבדיקות,19
28105,וכפוף,1
28106,לפרסומים,2
28107,מובל,10
28108,מהפרספקטיבה,4
28109,רשיונות,11
28110,ביוטכנולוגיה,17
28111,החליפות,3
28112,תתעניינו,2
28113,בלראות,4
28114,מוטמעת,7
28115,התאמות,9
28116,ביולוגיות,28
28117,אזמין,5
28118,הגולש,7
28119,ואדוארדו,1
28120,האנקדוטליות,1
28121,לתועלת,7
28122,מעוף,15
28123,ותרגמו,1
28124,מכאנית,6
28125,שיכפלו,1
28126,ובאשר,2
28127,טבחית,1
28128,תחששו,1
28129,הדגמת,4
28130,המצרך,1
28131,תושבי,55
28132,תזונה,42
28133,דלתפחמימות,1
28134,המשענת,8
28135,לאפות,5
28136,ובינתיים,15
28137,כיכרות,8
28138,מרכולים,3
28139,סטנדרטי,30
28140,לחםפלא,1
28141,שבאתי,9
28142,כיכרלחם,2
28143,מלאכתיד,6
28144,מאפיה,6
28145,הרמת,16
28146,הלחםפלא,1
28147,הססניות,1
28148,שסוג,28
28149,לאותנטיות,6
28150,לדרךחיים,1
28151,מטוסקנה,1
28152,שהחקלאות,4
28153,למסורות,3
28154,להיסטוריה,29
28155,אבותינו,39
28156,זיקה,15
28157,מיתולוגי,5
28158,שמתאר,18
28159,האיכרים,13
28160,המסכנים,11
28161,שמעבדים,3
28162,הניבו,2
28163,תשואה,20
28164,בערכה,5
28165,החוואים,9
28166,לטפח,23
28167,וכפרי,1
28168,מיכון,5
28169,דשנים,10
28170,התשואות,3
28171,נוראיים,30
28172,קטיף,3
28173,ביחוד,9
28174,צפופה,18
28175,שכיום,60
28176,והרלוונטי,1
28177,לחםהפלא,1
28178,תזלזלו,2
28179,מסמל,19
28180,בשפע,42
28181,ובמחיר,3
28182,הישג,32
28183,חסרטעם,1
28184,המודרניזציה,2
28185,ואוכלוסיית,5
28186,והנפח,1
28187,שכביכול,2
28188,שהמזון,11
28189,בממוצע,108
28190,למזוננו,2
28191,מצוי,45
28192,שמחירו,2
28193,צימוקים,4
28194,וחלב,3
28195,ממזון,3
28196,עתירקלוריות,1
28197,השמנתיתר,2
28198,היבול,12
28199,שבייתנו,1
28200,והיבול,3
28201,מגדלים,94
28202,בליל,20
28203,הטרופיות,3
28204,לחמניות,2
28205,והמבורגרים,2
28206,ולמשתמשי,1
28207,התחבורה,53
28208,באורז,3
28209,בקסבה,1
28210,ממצרך,2
28211,לקלוריות,1
28212,להשמנתיתר,3
28213,שמחיר,9
28214,בהיקפי,2
28215,השמדת,6
28216,מנופינו,1
28217,הסגורים,4
28218,המחירים,27
28219,לדגנים,1
28220,מכונתלחם,1
28221,ממהותו,1
28222,אבולוציונית,55
28223,בסוריה,12
28224,הקוץ,2
28225,בשמאל,11
28226,הקדמון,26
28227,ומהאיכרים,1
28228,הציבו,22
28229,והייצור,8
28230,תנועתנגד,1
28231,תנועתהנגד,1
28232,לחקלאות,23
28233,לקנה,11
28234,לשווקי,2
28235,למאפיות,1
28236,לטוסקנה,1
28237,גסטרונומיה,1
28238,והאשליה,1
28239,מעשיית,7
28240,אידיאליזציה,2
28241,נעדיף,4
28242,חוואות,4
28243,קטנתהיקף,2
28244,לאיכרות,1
28245,המסכנות,4
28246,ולבעליהן,1
28247,שיעבדו,25
28248,בנסיון,104
28249,גוזרים,3
28250,לדשן,3
28251,שיגן,6
28252,להביאו,3
28253,שהקטנת,1
28254,לבעיית,16
28255,המסכנה,14
28256,נחליט,9
28257,האנס,9
28258,בסקנדינביה,2
28259,לגזור,13
28260,שייצור,8
28261,הבשר,48
28262,בדרוםמזרח,4
28263,ובסין,6
28264,הדגנים,8
28265,בחלבון,4
28266,החלופות,5
28267,למיכשור,3
28268,מחוואי,1
28269,ולהתכופף,1
28270,ולעשב,1
28271,וחכם,10
28272,שימנע,5
28273,המיכשור,5
28274,שווקי,20
28275,ברהשגה,3
28276,ומגוון,15
28277,בעשרים,29
28278,פשטני,17
28279,כמייצג,2
28280,וההיקף,5
28281,בהיקף,34
28282,וברמת,7
28283,התקדמנו,26
28284,שנשמור,3
28285,נכניס,23
28286,האזורי,4
28287,דגנים,14
28288,הגינון,5
28289,ביניכם,17
28290,בזיהום,8
28291,להשמדת,2
28292,ולמדע,5
28293,במניעתם,1
28294,מזיקים,42
28295,עשבים,15
28296,שוטים,6
28297,כחצי,23
28298,אינץ,17
28299,השקיה,10
28300,ומחושבת,2
28301,היחסיים,3
28302,שהקרקע,8
28303,רבתפקודית,1
28304,פונקציות,19
28305,אזוריים,6
28306,עירוניות,15
28307,בריכות,12
28308,דגים,205
28309,חנייה,14
28310,ובמרתפים,1
28311,וחממות,1
28312,מגורים,48
28313,חממות,9
28314,ובתסיסה,1
28315,היבולים,18
28316,אזורי,72
28317,מכולכם,5
28318,כשתשובו,1
28319,לארצותיכם,1
28320,דירשו,1
28321,משולבת,23
28322,צפופתאוכלוסין,1
28323,דלתא,5
28324,שילבנו,5
28325,הפונקציות,10
28326,בדיוני,46
28327,העשייה,19
28328,כמגורים,1
28329,לחולים,49
28330,כרוניים,5
28331,נועז,15
28332,ושוחחתם,2
28333,איכר,7
28334,מקומכם,2
28335,משרשרת,3
28336,שמשחררת,4
28337,ומעל,36
28338,יומם,13
28339,הפשטניים,1
28340,שלעשות,6
28341,היותם,17
28342,המותרות,16
28343,הביע,8
28344,במסורת,15
28345,מזינים,28
28346,יושר,6
28347,שנאלצים,1
28348,בעודי,41
28349,מסיימת,10
28350,אפיתי,2
28351,לכוות,1
28352,מהמזון,14
28353,מלחמי,1
28354,ובעודכם,4
28355,טועמים,4
28356,עימדו,3
28357,נגיסה,1
28358,ולאותם,2
28359,זני,28
28360,ולאיכרים,1
28361,לכה,13
28362,בעליזכות,1
28363,תיהנו,3
28364,מהלחם,1
28365,איכלו,3
28366,וחושו,1
28367,שנפלה,5
28368,לידיכם,1
28369,ויתרתי,15
28370,בבנקאות,5
28371,והגלובלי,3
28372,ופגישה,3
28373,לדיפלומטית,1
28374,לאינטרס,9
28375,מדינתיות,2
28376,מדינית,12
28377,וגלובלית,5
28378,חושבתי,1
28379,נוגעות,7
28380,ומדיניות,9
28381,שנייהם,5
28382,היפיפיה,8
28383,שמארחת,2
28384,האלופים,2
28385,רצחנית,1
28386,שנהרג,5
28387,ברזילאי,9
28388,ביריות,2
28389,מהצרכניות,1
28390,והמחלמה,1
28391,בסמים,50
28392,כואבת,24
28393,מהרציחות,1
28394,משוייכות,1
28395,לבערך,24
28396,וסמים,7
28397,ועיר,4
28398,ודרום,15
28399,מהמיתות,1
28400,נשקים,25
28401,לקשה,6
28402,לאזרחים,27
28403,והשמדנו,1
28404,מתוכניות,8
28405,הקניה,9
28406,נסיגות,3
28407,הפסדנו,12
28408,במשאל,2
28409,לאסור,14
28410,היוזמה,29
28411,לשקם,39
28412,משטר,34
28413,המתאמת,1
28414,הועדה,10
28415,למדיניות,24
28416,גלובליים,49
28417,שהתאחדו,3
28418,הומניות,4
28419,ואפקטיביות,4
28420,הטאבו,6
28421,נשבר,27
28422,ומקסיקו,7
28423,לקולומביה,4
28424,ואורוגוואי,2
28425,המשמעותיות,6
28426,ושלטו,2
28427,בנרטיב,2
28428,לדיפלומטיית,1
28429,שפוליטיקאים,11
28430,ותיקים,13
28431,מהאשמת,1
28432,ללשים,1
28433,והבטיחות,3
28434,בדוח,11
28435,שהקבוצות,5
28436,שמרוויחות,4
28437,מהשוק,13
28438,קרימינליות,2
28439,וקרטלים,1
28440,לחתור,16
28441,והרווח,4
28442,לחוקיים,1
28443,שסמים,1
28444,שהועדה,2
28445,מפוקח,1
28446,לסמים,20
28447,ובנוגע,10
28448,לפיקוח,5
28449,תמעיטו,2
28450,היריבים,11
28451,המוטיבצמיות,1
28452,ונקודות,7
28453,המעטנו,2
28454,מואשרים,1
28455,מהברזילאים,1
28456,טעינו,17
28457,טלוויזיוני,5
28458,בטיעונים,4
28459,בהצבעת,1
28460,איגוד,26
28461,הרובאים,3
28462,הציפו,4
28463,הפרופגנדה,1
28464,קישור,41
28465,חירות,29
28466,ודמוקרטיה,13
28467,זרקו,16
28468,בדגל,2
28469,בהמנון,1
28470,והשתמשו,14
28471,טיאנמן,1
28472,היטלר,16
28473,בפחדים,3
28474,לרובים,1
28475,המיקוד,32
28476,שלוקח,51
28477,בהגנה,21
28478,דקטטורה,1
28479,האנטי,5
28480,וצבא,5
28481,ומוסדות,12
28482,שמרוויחים,14
28483,מהמלחמה,10
28484,הבינלאומי,49
28485,מתנסות,1
28486,בגישות,6
28487,הכירה,16
28488,האופוזיציה,6
28489,הברזילאי,7
28490,הנריקה,1
28491,קרדוסו,1
28492,מרחבי,47
28493,מליברלים,1
28494,לשמרנים,3
28495,האיכותית,4
28496,ובחסרונות,1
28497,המיודע,1
28498,השקול,1
28499,והאסטרטגי,1
28500,העצובה,5
28501,נכשלה,7
28502,וזמינים,4
28503,והצריכה,2
28504,שליליות,48
28505,מסיביות,7
28506,מכוונות,26
28507,טענו,23
28508,הטיעונים,13
28509,מתנגדים,16
28510,הטיעון,42
28511,ולמדנו,13
28512,משאל,10
28513,לעובדות,15
28514,ברזילאים,5
28515,מנשק,10
28516,אופרת,6
28517,מולהרס,1
28518,אפקסיונדס,1
28519,מאוהבת,14
28520,שהתיחילה,1
28521,רייטינג,1
28522,נהרגה,8
28523,הברזילאיות,1
28524,זועמות,1
28525,שמחקה,10
28526,ברובים,4
28527,שאורגנה,2
28528,קופקבנה,2
28529,הטלוויזיוני,2
28530,ולצעדה,1
28531,פרוק,3
28532,שהתמהמה,1
28533,המוצלחות,5
28534,בחוק,36
28535,ותוכנית,11
28536,הנשקים,6
28537,הצלנו,6
28538,והדעות,5
28539,שמקיפות,4
28540,מהשימוש,14
28541,תפחדו,4
28542,קיצונים,3
28543,חתך,40
28544,לצדכם,3
28545,חיברנו,16
28546,ערוב,3
28547,הנענו,2
28548,העלית,11
28549,וקיבלנו,43
28550,מהמדיה,1
28551,מקדמי,3
28552,איקונים,1
28553,המעמד,30
28554,המקצועי,12
28555,עורכי,70
28556,אקדמיה,10
28557,קואליציות,3
28558,המוכנים,7
28559,ליברטריאנים,2
28560,לאיסור,1
28561,ופיליטיקאים,1
28562,ומנותקת,1
28563,דיפלומטיית,2
28564,לבטוחים,10
28565,המאבק,70
28566,לתוכניות,9
28567,שמעניינת,7
28568,הזאב,12
28569,הטסמני,14
28570,לזרוס,5
28571,שמתמקד,9
28572,בצפרדע,2
28573,שדוגרת,1
28574,בקיבתה,2
28575,הוגנת,24
28576,נתח,19
28577,הרגנו,5
28578,זאב,24
28579,טסמני,22
28580,ירינו,5
28581,טבחנו,1
28582,הדוגרת,1
28583,בקיבה,5
28584,שקטלנו,1
28585,פונגיצידים,1
28586,פטריה,18
28587,קיטריד,1
28588,פונגוס,1
28589,נטפלת,1
28590,מפיצים,25
28591,פטרייה,6
28592,שהשמדנו,2
28593,ציווי,12
28594,לזארוס,1
28595,שמטילה,2
28596,ביציה,4
28597,ונעלמת,5
28598,ומאחלת,1
28599,לצפרדעוניה,1
28600,בלעה,4
28601,המופרות,1
28602,הקיבה,11
28603,עיכלה,1
28604,והפכה,12
28605,קיבתה,1
28606,לרחם,4
28607,לראשנים,3
28608,ובקיבה,1
28609,הראשנים,1
28610,הזקנה,16
28611,והמסכנה,3
28612,שיעול,6
28613,ושיהוק,1
28614,ניתזים,1
28615,תרסיסים,3
28616,ההביולוגים,1
28617,התרגשו,15
28618,כמי,37
28619,הרפואה,116
28620,מדעתו,4
28621,הפרשה,4
28622,קיבתית,2
28623,בקרביים,4
28624,באנג,11
28625,נכחדה,3
28626,טלפנתי,3
28627,לידידי,3
28628,טיילר,10
28629,אדלייד,1
28630,מושבה,23
28631,שמרת,1
28632,רקמות,65
28633,קפואות,8
28634,למקפיא,3
28635,ושפך,2
28636,המקפיא,4
28637,צנצנת,16
28638,שהכילה,6
28639,שברקמה,1
28640,נוגד,12
28641,קיפאון,10
28642,קריופרוטקטנטים,1
28643,להשגיח,9
28644,קפואה,13
28645,קופאים,12
28646,יודעיםהם,1
28647,מתפשטים,21
28648,מקפיאים,6
28649,לדפנות,1
28650,מנפצים,5
28651,הרקמה,30
28652,למיקרוסקופ,17
28653,דפנות,3
28654,פגע,52
28655,השתלת,22
28656,סומטיים,1
28657,והשבתנו,1
28658,הביצה,20
28659,בקרינה,12
28660,אולטרה,36
28661,סגולה,28
28662,המת,23
28663,המתה,8
28664,נכחדת,5
28665,והכנסנו,10
28666,שדומה,29
28667,שיבוט,11
28668,שהפיק,3
28669,דולי,9
28670,בדולי,1
28671,מכבשים,1
28672,נכחד,21
28673,התחלקה,2
28674,שמרכיבים,23
28675,שנכחדה,1
28676,נכחדים,19
28677,הודענו,6
28678,שכדור,24
28679,גסטרולציה,1
28680,ייצר,20
28681,הרקמות,25
28682,וייצר,4
28683,מקפצת,2
28684,שימרו,5
28685,הכפיים,7
28686,גידלה,9
28687,שקואלה,1
28688,קנגרו,4
28689,מרתקת,33
28690,שהולכת,18
28691,טראגית,7
28692,ונשיונל,1
28693,גיאוגרפיק,21
28694,מרבצי,3
28695,המאובנים,38
28696,ריברסליי,1
28697,בסלעי,1
28698,אריות,46
28699,קנגורו,3
28700,כקנגורו,1
28701,במדגסקר,2
28702,אוכלתבשר,1
28703,ברווז,22
28704,ותנינים,1
28705,תנינים,12
28706,המכוער,12
28707,בבריכת,7
28708,התנינים,7
28709,טיפסו,11
28710,וזינקו,1
28711,קרוקודילים,2
28712,טסמנים,4
28713,בינונית,22
28714,ציוואווה,3
28715,הילטון,4
28716,בתיק,26
28717,שקרוקודילנופל,1
28718,ובהדרגה,14
28719,להתייבש,5
28720,מגינאה,2
28721,דינגו,1
28722,ארכאי,3
28723,יכוילם,1
28724,דינגוס,2
28725,לזאב,2
28726,התחרו,6
28727,מזונות,12
28728,שהאבוריגנים,1
28729,החזיקו,27
28730,כחיות,10
28731,שמיד,14
28732,שהדינגו,1
28733,הובאו,4
28734,ביבשת,38
28735,האוסטרלית,5
28736,בטסמניה,4
28737,העצוב,9
28738,שהאירופים,1
28739,הוקירו,4
28740,שכללו,5
28741,וחשבו,15
28742,הברנש,8
28743,לטרוף,4
28744,הכבשים,8
28745,טרפו,2
28746,וניפטר,1
28747,לטבוח,1
28748,טסמניים,4
28749,נקטלו,1
28750,למבוי,8
28751,סתום,23
28752,באחדות,3
28753,מסצינות,2
28754,צוק,12
28755,רווחתו,1
28756,שנותר,37
28757,בנגמין,91
28758,בומריס,1
28759,בהובארט,2
28760,חטא,20
28761,כשמחקו,1
28762,כשמת,1
28763,מהזנחה,1
28764,השומרים,10
28765,לכלוב,4
28766,מחשיפה,2
28767,לקור,7
28768,ובבוקר,8
28769,גוויתו,2
28770,בנימין,3
28771,מחיה,21
28772,הגוויה,2
28773,לזבל,5
28774,אוסטרלי,6
28775,מוקסם,20
28776,מהזאב,1
28777,גולגלות,6
28778,הצנצנת,3
28779,בצנצנת,11
28780,גורת,1
28781,שמצא,9
28782,האמא,29
28783,כבש,10
28784,הגורה,2
28785,כבשו,6
28786,באלכוהול,3
28787,פליאונטולוג,4
28788,שאלכוהול,3
28789,גנטיקאים,5
28790,חדירה,13
28791,גורה,4
28792,הגנטיקאים,6
28793,כשהפכתי,5
28794,האוסטרלי,8
28795,אוצר,43
28796,שראה,30
28797,דגימה,24
28798,לצנצנת,3
28799,שלף,5
28800,וחשב,4
28801,פלופהפיל,1
28802,ולהשיב,5
28803,הוכנס,8
28804,הבזיקו,1
28805,שיצוץ,1
28806,מצומק,2
28807,יצוץ,3
28808,האוצר,34
28809,לדגימות,1
28810,בגולגלות,1
28811,שלתוכם,2
28812,לתחוב,3
28813,האצבעות,68
28814,מיטוכונדריה,2
28815,הישגנו,2
28816,צרץ,6
28817,רגנסיס,1
28818,מהטכניקות,1
28819,שמתפתחות,3
28820,פונדקאי,2
28821,שד,52
28822,מהשד,3
28823,המבקרים,15
28824,שחכו,1
28825,יכאב,4
28826,חיותכיס,1
28827,יולדים,7
28828,גליבין,1
28829,יידע,10
28830,נדרשת,19
28831,אנדרו,40
28832,פאסק,1
28833,ועמיתיו,7
28834,דנא,63
28835,מזאב,1
28836,כבוש,3
28837,ושילבו,3
28838,גנום,48
28839,תגית,6
28840,שה,48
28841,כחולירוק,3
28842,נוצרו,79
28843,הגיח,4
28844,ברקמות,6
28845,וערבבת,1
28846,חייםמסוג,1
28847,פרנקנשטיין,7
28848,היברידית,6
28849,הגרעיני,45
28850,שאלת,38
28851,שאליו,58
28852,לכס,3
28853,המלכות,4
28854,האקולוגית,78
28855,שטסמניה,1
28856,שהזאבים,3
28857,הטסמניים,2
28858,שכשדיברתי,1
28859,לכדו,4
28860,בעיניו,22
28861,זיכרונות,23
28862,הריח,48
28863,בעבורם,11
28864,מפיטר,2
28865,התאמץ,4
28866,בביקתה,3
28867,מיוער,2
28868,הביקתה,2
28869,ועיניו,4
28870,נמלאו,1
28871,הבקתה,7
28872,ואביו,7
28873,כשכל,48
28874,מוצף,19
28875,בזיכרונות,4
28876,השמיעו,4
28877,ייפ,3
28878,וממה,13
28879,ושאלת,2
28880,האשור,1
28881,הקיפו,10
28882,הערבות,7
28883,נגרפו,1
28884,הבטוחה,8
28885,יכחד,2
28886,מנטרה,6
28887,שחיות,18
28888,בטוחות,24
28889,נשמח,9
28890,אסטרטגיות,52
28891,מקבילות,7
28892,שיגיעו,12
28893,מהזאבים,1
28894,שנמסרו,1
28895,לגני,2
28896,מקלטים,7
28897,למוזיאונים,3
28898,הצוואר,14
28899,וזכרונות,6
28900,שהחזיקו,5
28901,מהיער,8
28902,ללקק,1
28903,ולהתכרבל,1
28904,האח,25
28905,חית,2
28906,בזאבים,1
28907,שבהחזקת,1
28908,מוקירים,10
28909,לתהום,9
28910,ששיבשנו,1
28911,גוני,22
28912,דפ,25
28913,הכתף,21
28914,הקעקוע,8
28915,ווינונה,1
28916,ריידר,2
28917,התארסו,1
28918,קעקע,1
28919,וינונה,1
28920,שבינינו,8
28921,וביצע,2
28922,שיכור,25
28923,לגוני,3
28924,מאמריקאים,2
28925,הגיליים,1
28926,באמע,1
28927,והתחרטו,1
28928,והתחרטתי,1
28929,התחרטתי,2
28930,מסטודיו,2
28931,הקעקועים,2
28932,בלואר,1
28933,סייד,12
28934,בפינת,14
28935,ברודוואי,1
28936,קאנאל,1
28937,והחלטות,5
28938,מטופשות,3
28939,ואוקיי,2
28940,קניתי,57
28941,המוסכמה,2
28942,שאומרת,61
28943,שחרטה,4
28944,ושאחד,2
28945,האציליים,1
28946,מבוטא,5
28947,ליידי,6
28948,מקבת,2
28949,רכרוכי,4
28950,הורג,37
28951,ידם,17
28952,מאבחנים,9
28953,סוציאופתיה,1
28954,שנגרם,24
28955,הקדםמצחי,1
28956,קליפת,64
28957,המח,76
28958,לקיחת,44
28959,נטולי,20
28960,לכריתת,11
28961,נורמאלים,1
28962,הומנים,1
28963,בלעדיה,7
28964,הנתון,19
28965,שבמילים,3
28966,ושנית,49
28967,דרוש,30
28968,ולוקחים,15
28969,הדמיונית,2
28970,בהווה,30
28971,ומדמיינים,3
28972,בפקק,11
28973,סופסוף,4
28974,שפספסתם,2
28975,תחושו,7
28976,פספסתם,7
28977,המנהרה,8
28978,הקלסיים,4
28979,שהביאה,26
28980,רצויה,8
28981,ויצאה,3
28982,הכנס,45
28983,מהתחום,4
28984,פיננסיות,12
28985,חרטת,1
28986,מתחרטים,10
28987,בהפרש,7
28988,מהחרטות,3
28989,קריירה,83
28990,הורות,20
28991,והדרכים,7
28992,ברשימה,49
28993,בזוגיות,2
28994,רוחניות,11
28995,וקהילה,9
28996,הנוגעים,14
28997,בחרטה,1
28998,שכשמסתכלים,1
28999,מסתכמות,6
29000,בפחות,69
29001,ונלחצים,2
29002,סוברו,1
29003,פריוס,4
29004,לגביהם,37
29005,ועקביות,3
29006,העקרי,2
29007,והמחשבה,10
29008,אמוציונלית,1
29009,נתק,12
29010,להעניש,20
29011,שבמצבים,1
29012,נותים,2
29013,מרביץ,3
29014,שפסיכולוגים,6
29015,חזרתיות,3
29016,כשמתמקדים,3
29017,בכפייתיות,2
29018,והשמתם,2
29019,בלולאה,5
29020,שישבתי,9
29021,עשי,11
29022,ישבתי,83
29023,השקמה,3
29024,קיומית,11
29025,להרביץ,8
29026,שביטוח,1
29027,נסיעות,19
29028,מטיפשות,2
29029,במעשים,5
29030,מטופשים,12
29031,חשוף,24
29032,ולעובדה,2
29033,חויה,4
29034,קונטרולזי,3
29035,בפקודת,1
29036,פקודת,4
29037,הבטל,1
29038,ולהסיר,3
29039,מרשימת,6
29040,ולהפסיק,6
29041,ולאלו,6
29042,ופרפקציוניסטים,2
29043,הטענה,30
29044,שחולי,1
29045,שהאינטנסיביות,1
29046,והעקביות,2
29047,הרגשיים,13
29048,מיצרניי,1
29049,האוטומטים,1
29050,השב,2
29051,בחידוש,3
29052,הערמומי,6
29053,מהדבר,13
29054,באימייל,14
29055,בחרטות,1
29056,וחסרות,3
29057,במובנים,52
29058,ובמקרים,31
29059,הגרועים,33
29060,ומתמשכת,3
29061,ההשב,1
29062,יגון,4
29063,מייסר,7
29064,שעוזרים,31
29065,להתנחם,4
29066,וקעקוע,1
29067,לינקים,5
29068,שמכל,6
29069,מהקעקוע,2
29070,להשמע,19
29071,פזיזה,3
29072,ואכזרית,1
29073,לחרטות,2
29074,שחש,6
29075,ויגון,2
29076,שלהומור,1
29077,בלעזור,7
29078,הקצבות,1
29079,והרע,8
29080,שכפי,24
29081,הפצעים,7
29082,מקעקועים,1
29083,להזהיר,20
29084,תתאכזבו,2
29085,קיעקעתי,1
29086,הפרצוף,19
29087,מנסון,1
29088,דיסקרטי,1
29089,פרפקציוניסטית,1
29090,להרגיע,21
29091,והתישבתי,1
29092,שאשכח,1
29093,במסעותיי,2
29094,שאהבתי,37
29095,המצפן,7
29096,ישמש,16
29097,כעזר,2
29098,תמידי,25
29099,יזכיר,2
29100,לקעקע,6
29101,והלקח,13
29102,להכאיב,6
29103,הפגומים,1
29104,ולסלוח,4
29105,מזיכרה,1
29106,מזכירה,23
29107,הוירוסים,35
29108,הוירולוגי,1
29109,אבחונית,1
29110,וניידת,4
29111,לשבב,2
29112,מיבדק,1
29113,אבחוני,3
29114,שיסרוק,1
29115,ויחפש,3
29116,גורמי,50
29117,פיקורנהוירוס,1
29118,שכוללים,4
29119,הצטננות,7
29120,ופוליו,1
29121,במעטפת,5
29122,החיצונית,40
29123,בוירוס,16
29124,שמתפתחים,2
29125,לאיתור,19
29126,כללויראלי,1
29127,המתפתחת,7
29128,תדיר,8
29129,כשקיים,2
29130,שימורעל,2
29131,שבבדקנו,1
29132,קפידה,2
29133,משולחןהעבודה,1
29134,פוליו,30
29135,וחתכתי,6
29136,למקטעים,4
29137,קוקסאקיוירוס,1
29138,וקטעתי,1
29139,צובע,4
29140,לוירוס,12
29141,בגנום,21
29142,הרצפים,9
29143,מתקודדים,1
29144,כסמן,2
29145,פרטני,8
29146,גיוון,50
29147,שנגיע,32
29148,לקוקסאקיוירוס,1
29149,ביכולתי,9
29150,שהרצפים,1
29151,השמורים,3
29152,רנא,7
29153,כמייצגי,1
29154,נבצע,22
29155,לתואר,62
29156,התעסקתי,12
29157,הדפסת,15
29158,פירורי,3
29159,המלח,15
29160,שמודבק,1
29161,כמאתרים,1
29162,להיולטפקרד,1
29163,וצפינו,5
29164,במיקרוסקופ,19
29165,משוטחות,1
29166,להדפיס,56
29167,סמני,3
29168,גורמיהמחלות,1
29169,הפצת,24
29170,קאמרי,2
29171,לבנייה,14
29172,ממוצרימדף,1
29173,ביכולתכם,4
29174,מפסק,10
29175,כיבויהחירום,1
29176,ולקודד,2
29177,גנטיות,17
29178,דרכיהנשימה,5
29179,צירפנו,6
29180,וירוסי,6
29181,והוספנו,4
29182,הרפס,1
29183,כמדען,15
29184,והדבקנו,3
29185,ותייגנו,3
29186,בעלסגול,1
29187,חומצות,29
29188,מתאי,13
29189,ויראלי,14
29190,והצמדנו,2
29191,לגשש,3
29192,רצפי,14
29193,יידבקו,3
29194,והיכן,48
29195,האדומות,34
29196,אות,100
29197,שמתקבל,23
29198,מהוירוס,3
29199,בברקוד,1
29200,ולהדביק,12
29201,באדנווירוס,1
29202,האדנווירוס,1
29203,ובדומה,8
29204,הדבקנו,7
29205,בשפעתפארא,1
29206,פאראמיקסווירוס,1
29207,ברקוד,8
29208,סינסיציאלי,2
29209,מעונותהיום,1
29210,שברקוד,1
29211,משפעתפארא,1
29212,שגורמת,38
29213,חתימות,11
29214,טביעתאצבע,7
29215,וריינווירוס,1
29216,ריינו,1
29217,ההצטננות,2
29218,שחתימות,1
29219,ווירוס,6
29220,ההרפס,1
29221,בסרקומה,1
29222,קפושי,1
29223,מפיק,31
29224,ברצועה,4
29225,שמייצג,19
29226,בגוש,6
29227,ריינווירוס,5
29228,הריינווירוס,1
29229,ריינווירוסים,5
29230,וביכולתכם,1
29231,התאמתמחשב,1
29232,מגונדרת,5
29233,תוכנתזיהוי,1
29234,הרצף,32
29235,הריינווירוסים,1
29236,תכננתי,23
29237,במפורש,18
29238,פגשו,17
29239,איננן,1
29240,מהשטח,15
29241,ריצף,3
29242,דפוסים,68
29243,ובריזיהוי,1
29244,ספריה,17
29245,טביעתהאצבע,2
29246,בשיעול,2
29247,מוירוס,6
29248,מארח,13
29249,שטיפתאף,1
29250,האתיקה,13
29251,תרכיב,3
29252,מחדר,21
29253,לאמוגדרים,1
29254,זיהומי,5
29255,מהרחוב,16
29256,ייכנס,15
29257,בדלת,35
29258,ריסוס,7
29259,שמשטח,3
29260,הכנסנו,29
29261,טונה,34
29262,הצטנן,2
29263,המיוצגים,1
29264,בקודי,3
29265,אלמוניים,2
29266,מהוירוסים,2
29267,שרצפי,1
29268,השימור,36
